x		y
0.00		0.42
0.08		0.59
0.16		0.73
0.25		0.71
0.33		0.80
0.41		0.90
0.49		0.97
0.57		0.98
0.65		0.89
0.73		1.02
0.81		1.00
0.89		0.96
0.97		1.00
1.05		0.85
1.13		0.84
1.21		0.79
1.30		0.78
1.38		0.59
1.46		0.60
1.54		0.44
MISSING		MISSING
1.70		0.29
1.78		0.22
1.86		0.14
1.94		0.05
MISSING		MISSING
2.10		-0.01
2.18		0.04
2.27		-0.06
2.35		0.00
2.43		0.01
2.51		0.04
2.59		0.10
2.67		0.16
2.75		0.35
2.83		0.41
2.91		0.43
MISSING		MISSING
3.07		0.58
3.15		0.62
3.24		0.87
3.32		MISSING
3.40		0.88
3.48		0.93
3.56		0.96
3.64		0.94
3.72		MISSING
3.80		0.96
3.88		1.04
3.96		0.83
4.04		0.97
4.12		0.84
4.20		MISSING
4.29		0.76
4.37		0.65
4.45		0.54
4.53		0.50
4.61		MISSING
4.69		0.39
4.77		0.19
4.85		MISSING
4.93		MISSING
5.01		MISSING
5.09		MISSING
5.17		MISSING
5.26		-0.09
5.34		0.03
5.42		0.03
5.50		0.07
5.58		0.03
5.66		0.21
5.74		0.23
5.82		0.25
5.90		0.31
5.98		0.52
6.06		0.52
6.14		0.68
MISSING		0.75
6.31		0.77
6.39		0.83
6.47		0.86
6.55		0.97
6.63		0.95
6.71		MISSING
6.79		MISSING
6.87		1.09
6.95		0.94
7.03		0.84
7.11		0.88
7.19		0.88
7.28		0.74
7.36		MISSING
7.44		MISSING
7.52		MISSING
7.60		MISSING
7.68		0.30
7.76		0.22
7.84		0.17
7.92		0.06
